freq correl
1.082164e+04 1.950161e-04
1.086172e+04 1.942965e-04
1.090180e+04 1.935821e-04
1.094188e+04 1.928731e-04
1.098196e+04 1.921691e-04
1.102204e+04 1.914703e-04
1.106212e+04 1.907766e-04
1.110220e+04 1.900879e-04
1.114228e+04 1.894041e-04
1.118236e+04 1.887252e-04
1.122244e+04 1.880512e-04
1.126253e+04 1.873820e-04
1.130261e+04 1.867175e-04
1.134269e+04 1.860578e-04
1.138277e+04 1.854026e-04
1.142285e+04 1.847521e-04
1.146293e+04 1.841061e-04
1.150301e+04 1.834646e-04
1.154309e+04 1.828276e-04
